Portfolio,Scenario,Bond,Yield Shift (bps),Actual Price Change,Actual % Change,Duration-based Approx,Duration+Convexity Approx,Duration Error (%),Convexity Error (%)
balanced,Bull_Steepener_100bps,EG6454136 Corp,6.5236309028327,-0.09950280000407474,-0.11005847981078139,-0.0995880881578569,-0.09950273455701214,0.0857143254045754,-6.577409138237008e-05
balanced,Bull_Steepener_100bps,136375BQ4 Corp,34.38594080998863,-1.4660768370549064,-2.317907503646444,-1.4916164607949018,-1.4657299840851787,1.7420385544935062,-0.02365858057101993
balanced,Bull_Steepener_100bps,670346AH8 Corp,34.36945699079319,-1.4677839728634439,-2.3148058954939676,-1.4933299061416168,-1.4674372862436824,1.740442309663343,-0.023619730571462202
balanced,Bull_Steepener_100bps,472319AE2 Corp,6.527110870720165,-0.09934308400677594,-0.1102508335299904,-0.09942831075654496,-0.09934301856022976,0.08579032010240929,-6.58793179583525e-05
balanced,Bull_Steepener_100bps,72650RAR3 Corp,32.12535007802497,-1.3717155289463676,-2.0691830507534172,-1.3926761443850029,-1.3714662536337325,1.5280584783300788,-0.018172522463644435
balanced,Bear_Flattener_100bps,806605AH4 Corp,66.78937505479321,-2.813423990660411,-4.3282583842774205,-2.9060029185589094,-2.8110539867425524,3.2906141486611467,-0.08423913088557054
balanced,Bear_Flattener_100bps,771367BZ1 Corp,78.74952155994069,-2.755926769282766,-3.7423320383236134,-2.8275608238027736,-2.754477003786064,2.5992727861433873,-0.052605370827010896
balanced,Bear_Flattener_100bps,92976GAJ0 Corp,63.72886916900404,-5.719325957145372,-5.187830329944484,-5.926960474792342,-5.71361642506658,3.6304018900612522,-0.09982875817138843
balanced,Bear_Flattener_100bps,EG6454136 Corp,93.47736870230162,-1.4096675031766068,-1.5592110215182269,-1.4270017071393537,-1.4094767871946485,1.2296661392622883,-0.013529146520617992
balanced,Bear_Flattener_100bps,136375BQ4 Corp,65.63933912535236,-2.7554080176280706,-4.35637529919483,-2.8473473870062995,-2.7530196269383738,3.3366880255132876,-0.08668010960325448
balanced,Bear_Flattener_100bps,670346AH8 Corp,65.65592429663842,-2.760610046302844,-4.353690003764759,-2.852705973615017,-2.7582175738596995,3.3360715844496993,-0.08666462857905925
balanced,Bear_Flattener_100bps,472319AE2 Corp,93.47386541659868,-1.4065973461621155,-1.5610400201071688,-1.4238992905649221,-1.4064069580988432,1.2300566647601596,-0.013535363463594555
balanced,Bear_Flattener_100bps,72650RAR3 Corp,67.91118956920388,-2.851586781206109,-4.3015150815974135,-2.9440393153733515,-2.8492574243227975,3.2421434541837395,-0.08168634034438
balanced,Inversion_100bps,806605AH4 Corp,-125.37230686230721,5.80617590961495,8.932400393543752,5.454943834246601,5.789507333323293,-6.049284087082406,-0.28708355639129446
balanced,Inversion_100bps,771367BZ1 Corp,-12.654960667743826,0.4562793470708044,0.6195915065670787,0.4543858845369775,0.45627321083287514,-0.4149787944561769,-0.0013448423577947092
balanced,Inversion_100bps,92976GAJ0 Corp,-153.692756949924,15.621240844229021,14.169562576130513,14.293849986390738,15.534687492840781,-8.497345832348929,-0.5540747514959111
balanced,Inversion_100bps,EG6454136 Corp,51.84781441752217,-0.7861367940276835,-0.8695335253929045,-0.7914955321525522,-0.7861041018805406,0.6816546643763806,-0.004158582500059661
balanced,Inversion_100bps,136375BQ4 Corp,-140.01695612609237,6.527773898626329,10.320588743580771,6.073749667114196,6.502962191714118,-6.955268956353942,-0.3800944594210344
balanced,Inversion_100bps,670346AH8 Corp,-139.88399164169218,6.53153968736018,10.300730117292812,6.077865826188661,6.506776335604883,-6.9458945805606565,-0.3791349810400595
balanced,Inversion_100bps,472319AE2 Corp,51.80285426367309,-0.7837795494948239,-0.8698375885901702,-0.7891194731975193,-0.783746994561831,0.6813042910008577,-0.004153582855524365
