,53079EAN4 Corp,88732JAJ7 Corp,92553PAC6 Corp,314275AC2 Corp
Company,Liberty Mutual Group Inc,Time Warner Cable LLC,Paramount Global,Macy's Retail Holdings LLC
Ticker,LIBMUT,CHTR,PARA,M
Rating,BB+,BB+,BB+,BB+
Issue Date,2007-03-07 00:00:00,2007-10-30 00:00:00,2007-10-05 00:00:00,2007-03-12 00:00:00
Maturity Date,2037-03-15 00:00:00,2037-05-01 00:00:00,2037-10-05 00:00:00,2037-03-15 00:00:00
2016-06-15 00:00:00,61.891,116.289,61.891,61.891
2016-06-16 00:00:00,61.384,116.085,61.384,61.384
2016-06-17 00:00:00,62.997,115.566,62.997,62.997
2016-06-20 00:00:00,63.393,115.4,63.393,63.393
2016-06-21 00:00:00,65.42,115.433,65.42,65.42
2016-06-22 00:00:00,65.476,115.73,65.476,65.476
2016-06-23 00:00:00,66.276,115.074,66.276,66.276
2016-06-24 00:00:00,63.834,117.224,63.834,63.834
2016-06-27 00:00:00,60.858,115.627,60.858,60.858
2016-06-28 00:00:00,62.636,116.743,62.636,62.636
2016-06-29 00:00:00,63.99,117.144,63.99,63.99
2016-06-30 00:00:00,64.649,117.417,64.649,64.649
2016-07-01 00:00:00,65.535,118.701,65.535,65.535
2016-07-05 00:00:00,67.412,119.502,67.412,67.412
2016-07-06 00:00:00,63.371,120.67,63.371,63.371
2016-07-07 00:00:00,62.726,120.407,62.726,62.726
2016-07-08 00:00:00,62.27,121.383,62.27,62.27
2016-07-11 00:00:00,62.68,121.56,62.68,62.68
2016-07-12 00:00:00,63.823,120.732,63.823,63.823
2016-07-13 00:00:00,62.775,121.435,62.775,62.775
2016-07-14 00:00:00,63.561,120.647,63.561,63.561
2016-07-15 00:00:00,63.495,120.74,63.495,63.495
2016-07-18 00:00:00,63.125,120.293,63.125,63.125
2016-07-19 00:00:00,63.451,120.476,63.451,63.451
2016-07-20 00:00:00,63.483,120.573,63.483,63.483
2016-07-21 00:00:00,64.51,120.117,64.51,64.51
2016-07-22 00:00:00,63.735,121.069,63.735,63.735
