,806605AH4 Corp,532457BA5 Corp,665772CC1 Corp,557497AR5 Corp,693304AJ6 Corp,69351UAK9 Corp,12189TAZ7 Corp,65334HAG7 Corp,046353AD0 Corp
Company,Merck & Co Inc,Eli Lilly & Co,Northern States Power Co/MN,Madison Gas and Electric Co,PECO Energy Co,PPL Electric Utilities Corp,Burlington Northern Santa Fe LLC,CNOOC Petroleum North America ULC,AstraZeneca PLC
Ticker,MRK,LLY,XEL,MGEE,EXC,PPL,BNSF,CNOOC,AZN
Rating,A+,A+,A+,A+,A+,A+,A+,A+,A+
Issue Date,2007-09-17 00:00:00,2007-03-14 00:00:00,2007-06-26 00:00:00,2007-09-19 00:00:00,2007-03-19 00:00:00,2007-08-13 00:00:00,2007-04-13 00:00:00,2007-05-04 00:00:00,2007-09-12 00:00:00
Maturity Date,2037-09-15 00:00:00,2037-03-15 00:00:00,2037-07-01 00:00:00,2037-09-15 00:00:00,2037-03-15 00:00:00,2037-08-15 00:00:00,2037-05-01 00:00:00,2037-05-15 00:00:00,2037-09-15 00:00:00
2023-05-22 00:00:00,66.941,108.303,66.941,66.941,101.821,106.314,110.614,110.022,66.941
2023-05-23 00:00:00,67.392,108.547,67.392,67.392,101.907,106.364,110.317,110.792,67.392
2023-05-24 00:00:00,67.418,108.042,67.418,67.418,101.677,105.931,109.86,110.447,67.418
2023-05-25 00:00:00,67.046,107.506,67.046,67.046,101.218,105.459,109.137,109.754,67.046
2023-05-26 00:00:00,67.282,107.619,67.282,67.282,100.784,105.815,109.277,109.875,67.282
2023-05-30 00:00:00,67.575,108.618,67.575,67.575,101.647,106.482,110.427,110.974,67.575
2023-05-31 00:00:00,67.62,109.051,67.62,67.62,103.08,106.758,110.852,111.425,67.62
2023-06-01 00:00:00,66.435,108.914,66.435,66.435,103.443,107.509,111.264,111.85,66.435
2023-06-02 00:00:00,67.331,108.281,67.331,67.331,102.894,106.722,110.451,110.972,67.331
2023-06-05 00:00:00,68.235,108.572,68.235,68.235,102.713,106.676,110.761,111.227,68.235
2023-06-06 00:00:00,68.823,108.856,68.823,68.823,102.899,106.435,111.144,111.615,68.823
2023-06-07 00:00:00,69.335,107.74,69.335,69.335,102.012,106.094,109.707,110.374,69.335
2023-06-08 00:00:00,68.799,107.944,68.799,68.799,102.665,106.859,110.432,111.015,68.799
2023-06-09 00:00:00,69.007,107.797,69.007,69.007,102.098,106.677,110.499,111.311,69.007
2023-06-12 00:00:00,68.338,107.856,68.338,68.338,102.413,107.248,110.503,111.175,68.338
2023-06-13 00:00:00,67.812,107.434,67.812,67.812,101.683,106.391,110.003,110.537,67.812
2023-06-14 00:00:00,67.301,107.801,67.301,67.301,99.998,106.281,110.128,110.777,67.301
2023-06-15 00:00:00,68.079,108.176,68.079,68.079,101.609,106.955,110.692,111.341,68.079
2023-06-16 00:00:00,67.953,108.167,67.953,67.953,100.999,106.909,110.354,111.387,67.953
2023-06-20 00:00:00,67.698,108.202,67.698,67.698,101.711,106.975,110.785,111.779,67.698
2023-06-21 00:00:00,67.77,108.527,67.77,67.77,100.744,107.431,110.61,111.813,67.77
2023-06-22 00:00:00,67.608,107.385,67.608,67.608,101.878,106.403,110.116,111.079,67.608
2023-06-23 00:00:00,67.54,108.372,67.54,67.54,102.164,106.825,110.714,111.602,67.54
2023-06-26 00:00:00,67.549,107.998,67.549,67.549,102.525,107.458,110.693,111.73,67.549
2023-06-27 00:00:00,67.691,108.082,67.691,67.691,102.237,106.693,110.39,111.227,67.691
2023-06-28 00:00:00,68.626,108.6,68.626,68.626,102.742,107.127,110.988,111.665,68.626
2023-06-29 00:00:00,69.105,107.825,69.105,69.105,101.647,105.946,109.82,110.769,69.105
2023-06-30 00:00:00,70.274,108.21,70.274,70.274,102.428,106.479,110.037,110.719,70.274
2023-07-03 00:00:00,71.322,108.087,71.322,71.322,101.849,106.709,110.056,110.61,71.322
2023-07-05 00:00:00,71.875,107.246,71.875,71.875,101.159,105.632,109.376,110.159,71.875
2023-07-06 00:00:00,71.795,105.81,71.795,71.795,99.754,104.78,108.405,108.721,71.795
2023-07-07 00:00:00,72.131,105.531,72.131,72.131,99.569,104.419,108.545,108.298,72.131
2023-07-10 00:00:00,72.95,106.24,72.95,72.95,100.164,104.884,108.793,108.856,72.95
2023-07-11 00:00:00,74.953,106.658,74.953,74.953,99.8,105.772,108.948,109.534,74.953
2023-07-12 00:00:00,75.42,107.805,75.42,75.42,101.114,106.652,110.169,110.45,75.42
2023-07-13 00:00:00,75.366,108.824,75.366,75.366,102.076,107.148,111.488,111.442,75.366
2023-07-14 00:00:00,74.91,107.929,74.91,74.91,101.436,106.561,110.729,110.792,74.91
2023-07-17 00:00:00,75.163,108.307,75.163,75.163,101.506,106.947,110.773,111.076,75.163
2023-07-18 00:00:00,76.959,108.761,76.959,76.959,101.596,107.279,111.027,111.332,76.959
2023-07-19 00:00:00,77.244,109.288,77.244,77.244,101.631,107.98,111.753,111.712,77.244
2023-07-20 00:00:00,76.824,108.277,76.824,76.824,101.257,106.895,110.713,110.717,76.824
2023-07-21 00:00:00,77.142,108.447,77.142,77.142,101.54,107.141,110.905,111.048,77.142
2023-07-24 00:00:00,77.817,108.14,77.817,77.817,101.082,106.83,110.784,110.689,77.817
2023-07-25 00:00:00,78.27,107.853,78.27,78.27,100.417,106.511,111.209,110.629,78.27
2023-07-26 00:00:00,78.385,108.63,78.385,78.385,101.043,106.719,111.591,110.741,78.385
2023-07-27 00:00:00,77.429,106.865,77.429,77.429,99.398,105.494,109.473,109.535,77.429
2023-07-28 00:00:00,77.64,107.183,77.64,77.64,100.624,105.785,110.088,109.929,77.64
2023-07-31 00:00:00,79.182,106.84,79.182,79.182,100.902,106.01,109.949,109.933,79.182
