,670346AH8 Corp,94973VAN7 Corp,15189WAD2 Corp,02364WAP0 Corp,759509AB8 Corp,761713AT3 Corp,13645RAF1 Corp,98417EAC4 Corp,58013MEC4 Corp,744533BJ8 Corp,976826BE6 Corp,15361GAQ8 Corp,476556CX1 Corp,548661CP0 Corp,867229AE6 Corp,88579EAC9 Corp,75913MAA7 Corp,126408GK3 Corp,74834LAN0 Corp,92343VAF1 Corp,037735CK1 Corp,38141GFD1 Corp
Company,Nucor Corp,Elevance Health Inc,CenterPoint Energy Resources Corp,America Movil SAB de CV,Reliance Inc,Reynolds American Inc,Canadian Pacific Railway Co,Glencore Finance Canada Ltd,McDonald's Corp,Public Service Co of Oklahoma,Wisconsin Power and Light Co,Central Hudson Gas & Electric Corp,Jersey Central Power & Light Co,Lowe's Cos Inc,Suncor Energy Inc,3M Co,Regions Bank/Birmingham AL,CSX Corp,Quest Diagnostics Inc,Verizon Communications Inc,Appalachian Power Co,Goldman Sachs Group Inc/The
Ticker,NUE,ELV,CNP,AMXLMM,RS,BATSLN,CP,GLENLN,MCD,AEP,LNT,FTSCN,FE,LOW,SUCN,MMM,RF,CSX,DGX,VZ,AEP,GS
Rating,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+
Issue Date,2007-12-03 00:00:00,2007-06-08 00:00:00,2007-10-23 00:00:00,2007-10-30 00:00:00,2007-03-30 00:00:00,2007-06-21 00:00:00,2007-05-08 00:00:00,2007-11-20 00:00:00,2007-10-18 00:00:00,2007-11-14 00:00:00,2007-08-15 00:00:00,2007-03-23 00:00:00,2007-12-13 00:00:00,2007-09-11 00:00:00,2007-06-28 00:00:00,2007-03-29 00:00:00,2007-06-26 00:00:00,2007-04-25 00:00:00,2007-06-22 00:00:00,2007-04-03 00:00:00,2007-08-17 00:00:00,2007-10-03 00:00:00
Maturity Date,2037-12-01 00:00:00,2037-06-15 00:00:00,2037-11-01 00:00:00,2037-11-15 00:00:00,2036-11-15 00:00:00,2037-06-15 00:00:00,2037-05-15 00:00:00,2037-11-15 00:00:00,2037-10-15 00:00:00,2037-11-15 00:00:00,2037-08-15 00:00:00,2037-03-23 00:00:00,2037-06-01 00:00:00,2037-09-15 00:00:00,2038-06-15 00:00:00,2037-03-15 00:00:00,2037-06-26 00:00:00,2037-05-01 00:00:00,2037-07-01 00:00:00,2037-04-01 00:00:00,2037-08-15 00:00:00,2037-10-01 00:00:00
2015-10-30 00:00:00,64.119,64.119,64.119,114.018,64.119,64.119,116.942,82.441,120.195,120.985,129.601,64.119,64.119,130.499,120.42,64.119,64.119,64.119,64.119,113.84,64.119,121.329
2015-11-02 00:00:00,65.356,65.356,65.356,113.279,65.356,65.356,116.452,82.207,120.128,120.524,129.173,65.356,65.356,129.99,120.17,65.356,65.356,65.356,65.356,113.438,65.356,121.913
2015-11-03 00:00:00,66.786,66.786,66.786,112.752,66.786,66.786,115.983,81.965,119.499,120.05,128.656,66.786,66.786,129.463,119.956,66.786,66.786,66.786,66.786,113.299,66.786,121.005
2015-11-04 00:00:00,66.829,66.829,66.829,112.855,66.829,66.829,116.336,83.266,119.445,120.404,129.154,66.829,66.829,129.219,120.097,66.829,66.829,66.829,66.829,112.829,66.829,121.176
2015-11-05 00:00:00,64.846,64.846,64.846,112.91,64.846,64.846,116.073,83.139,119.514,120.138,129.233,64.846,64.846,128.844,119.965,64.846,64.846,64.846,64.846,113.323,64.846,120.457
2015-11-06 00:00:00,63.967,63.967,63.967,112.037,63.967,63.967,114.934,82.582,118.41,118.609,126.903,63.967,63.967,128.629,118.55,63.967,63.967,63.967,63.967,112.843,63.967,119.87
2015-11-09 00:00:00,62.482,62.482,62.482,111.468,62.482,62.482,114.393,81.983,116.923,118.363,126.701,62.482,62.482,127.447,118.492,62.482,62.482,62.482,62.482,112.679,62.482,119.499
2015-11-10 00:00:00,62.638,62.638,62.638,111.465,62.638,62.638,113.665,81.471,116.917,118.36,126.692,62.638,62.638,127.417,118.423,62.638,62.638,62.638,62.638,112.999,62.638,119.455
2015-11-12 00:00:00,61.606,61.606,61.606,111.457,61.606,61.606,113.737,80.205,116.639,118.862,127.297,61.606,61.606,127.986,118.736,61.606,61.606,61.606,61.606,112.832,61.606,119.701
2015-11-13 00:00:00,61.405,61.405,61.405,112.234,61.405,61.405,114.416,78.352,117.59,120.503,128.112,61.405,61.405,128.615,119.431,61.405,61.405,61.405,61.405,113.004,61.405,119.809
2015-11-16 00:00:00,61.525,61.525,61.525,111.588,61.525,61.525,113.994,76.582,117.996,120.322,127.909,61.525,61.525,127.934,118.462,61.525,61.525,61.525,61.525,112.389,61.525,118.885
2015-11-17 00:00:00,61.555,61.555,61.555,111.938,61.555,61.555,112.803,76.355,117.797,120.709,128.282,61.555,61.555,128.616,118.938,61.555,61.555,61.555,61.555,112.954,61.555,119.987
