,98385XAM8 Corp,341081EY9 Corp,70213HAA6 Corp,002819AC4 Corp,742718DF3 Corp
Company,XTO Energy Inc,Florida Power & Light Co,Mass General Brigham Inc,Abbott Laboratories,Procter & Gamble Co/The
Ticker,XOM,NEE,PARHC,ABT,PG
Rating,AA-,AA-,AA-,AA-,AA-
Issue Date,2007-07-19 00:00:00,2007-04-17 00:00:00,2007-06-28 00:00:00,2007-11-09 00:00:00,2007-03-05 00:00:00
Maturity Date,2037-08-01 00:00:00,2037-05-01 00:00:00,2037-07-01 00:00:00,2037-11-30 00:00:00,2037-03-05 00:00:00
2016-01-11 00:00:00,142.572,50.175,50.175,50.175,50.175
2016-01-12 00:00:00,143.901,49.398,49.398,49.398,49.398
2016-01-13 00:00:00,144.121,46.968,46.968,46.968,46.968
2016-01-14 00:00:00,144.085,49.014,49.014,49.014,49.014
2016-01-15 00:00:00,145.077,46.25,46.25,46.25,46.25
2016-01-19 00:00:00,144.794,43.691,43.691,43.691,43.691
2016-01-20 00:00:00,145.976,41.743,41.743,41.743,41.743
2016-01-21 00:00:00,144.929,43.392,43.392,43.392,43.392
2016-01-22 00:00:00,144.576,45.624,45.624,45.624,45.624
2016-01-25 00:00:00,145.376,45.94,45.94,45.94,45.94
2016-01-26 00:00:00,145.368,45.701,45.701,45.701,45.701
2016-01-27 00:00:00,144.966,45.86,45.86,45.86,45.86
2016-01-28 00:00:00,145.282,46.254,46.254,46.254,46.254
2016-01-29 00:00:00,146.432,47.504,47.504,47.504,47.504
2016-02-01 00:00:00,145.919,46.082,46.082,46.082,46.082
2016-02-02 00:00:00,147.996,45.382,45.382,45.382,45.382
2016-02-03 00:00:00,147.383,45.129,45.129,45.129,45.129
2016-02-04 00:00:00,147.248,46.567,46.567,46.567,46.567
2016-02-05 00:00:00,147.058,45.748,45.748,45.748,45.748
2016-02-08 00:00:00,148.819,44.832,44.832,44.832,44.832
2016-02-09 00:00:00,149.542,44.4,44.4,44.4,44.4
2016-02-10 00:00:00,151.341,43.093,43.093,43.093,43.093
2016-02-11 00:00:00,152.404,40.342,40.342,40.342,40.342
2016-02-12 00:00:00,150.044,42.289,42.289,42.289,42.289
2016-02-16 00:00:00,149.591,42.615,42.615,42.615,42.615
2016-02-17 00:00:00,148.579,43.461,43.461,43.461,43.461
2016-02-18 00:00:00,149.814,42.702,42.702,42.702,42.702
2016-02-19 00:00:00,149.671,42.839,42.839,42.839,42.839
2016-02-22 00:00:00,149.594,43.908,43.908,43.908,43.908
2016-02-23 00:00:00,150.412,42.588,42.588,42.588,42.588
2016-02-24 00:00:00,149.94,41.646,41.646,41.646,41.646
2016-02-25 00:00:00,150.436,42.873,42.873,42.873,42.873
2016-02-26 00:00:00,143.94,43.8,43.8,43.8,43.8
2016-02-29 00:00:00,144.095,46.045,46.045,46.045,46.045
2016-03-01 00:00:00,142.744,47.154,47.154,47.154,47.154
2016-03-02 00:00:00,140.071,49.486,49.486,49.486,49.486
2016-03-03 00:00:00,140.227,50.964,50.964,50.964,50.964
2016-03-04 00:00:00,139.425,54.215,54.215,54.215,54.215
2016-03-07 00:00:00,139.059,57.113,57.113,57.113,57.113
2016-03-08 00:00:00,140.256,55.593,55.593,55.593,55.593
2016-03-09 00:00:00,139.754,54.199,54.199,54.199,54.199
2016-03-10 00:00:00,139.362,55.646,55.646,55.646,55.646
2016-03-11 00:00:00,138.142,55.132,55.132,55.132,55.132
2016-03-14 00:00:00,138.556,55.028,55.028,55.028,55.028
2016-03-15 00:00:00,138.276,55.069,55.069,55.069,55.069
2016-03-16 00:00:00,139.259,54.786,54.786,54.786,54.786
2016-03-17 00:00:00,139.56,55.41,55.41,55.41,55.41
2016-03-18 00:00:00,139.942,56.314,56.314,56.314,56.314
2016-03-21 00:00:00,139.042,55.764,55.764,55.764,55.764
2016-03-22 00:00:00,138.79,54.159,54.159,54.159,54.159
2016-03-23 00:00:00,140.075,51.706,51.706,51.706,51.706
2016-03-24 00:00:00,139.596,51.766,51.766,51.766,51.766
2016-03-28 00:00:00,140.481,51.161,51.161,51.161,51.161
2016-03-29 00:00:00,141.838,50.863,50.863,50.863,50.863
2016-03-30 00:00:00,141.43,51.036,51.036,51.036,51.036
2016-03-31 00:00:00,142.021,50.092,50.092,50.092,50.092
2016-04-01 00:00:00,141.924,49.21,49.21,49.21,49.21
2016-04-04 00:00:00,142.198,48.962,48.962,48.962,48.962
2016-04-05 00:00:00,142.914,46.983,46.983,46.983,46.983
2016-04-06 00:00:00,142.2,48.209,48.209,48.209,48.209
2016-04-07 00:00:00,143.568,47.387,47.387,47.387,47.387
2016-04-08 00:00:00,142.577,48.696,48.696,48.696,48.696
2016-04-11 00:00:00,142.358,50.086,50.086,50.086,50.086
2016-04-12 00:00:00,141.871,53.173,53.173,53.173,53.173
2016-04-13 00:00:00,142.179,54.431,54.431,54.431,54.431
2016-04-14 00:00:00,141.865,55.213,55.213,55.213,55.213
2016-04-15 00:00:00,142.594,58.23,58.23,58.23,58.23
2016-04-18 00:00:00,142.215,57.626,57.626,57.626,57.626
2016-04-19 00:00:00,141.804,61.294,61.294,61.294,61.294
2016-04-20 00:00:00,140.641,63.238,63.238,63.238,63.238
2016-04-21 00:00:00,140.237,61.481,61.481,61.481,61.481
2016-04-22 00:00:00,139.938,61.285,61.285,61.285,61.285
2016-04-25 00:00:00,139.435,61.096,61.096,61.096,61.096
2016-04-26 00:00:00,139.279,60.609,60.609,60.609,60.609
2016-04-27 00:00:00,140.264,62.16,62.16,62.16,62.16
2016-04-28 00:00:00,140.622,61.64,61.64,61.64,61.64
2016-04-29 00:00:00,140.682,60.492,60.492,60.492,60.492
2016-05-02 00:00:00,139.879,61.017,61.017,61.017,61.017
2016-05-03 00:00:00,141.19,58.488,58.488,58.488,58.488
2016-05-04 00:00:00,141.778,57.555,57.555,57.555,57.555
2016-05-05 00:00:00,142.451,55.435,55.435,55.435,55.435
2016-05-06 00:00:00,142.1,57.107,57.107,57.107,57.107
2016-05-09 00:00:00,142.647,56.002,56.002,56.002,56.002
2016-05-10 00:00:00,142.462,57.392,57.392,57.392,57.392
2016-05-11 00:00:00,142.981,57.906,57.906,57.906,57.906
2016-05-12 00:00:00,142.491,59.159,59.159,59.159,59.159
2016-05-13 00:00:00,145.066,58.389,58.389,58.389,58.389
2016-05-16 00:00:00,144.213,59.836,59.836,59.836,59.836
2016-05-17 00:00:00,143.882,58.588,58.588,58.588,58.588
2016-05-18 00:00:00,142.989,57.215,57.215,57.215,57.215
2016-05-19 00:00:00,143.07,57.289,57.289,57.289,57.289
2016-05-20 00:00:00,143.226,58.21,58.21,58.21,58.21
2016-05-23 00:00:00,143.224,56.969,56.969,56.969,56.969
2016-05-24 00:00:00,142.839,57.557,57.557,57.557,57.557
2016-05-25 00:00:00,142.574,58.545,58.545,58.545,58.545
2016-05-26 00:00:00,143.134,58.166,58.166,58.166,58.166
2016-05-27 00:00:00,142.748,58.953,58.953,58.953,58.953
2016-05-31 00:00:00,142.945,58.198,58.198,58.198,58.198
2016-06-01 00:00:00,143.255,57.831,57.831,57.831,57.831
2016-06-02 00:00:00,143.694,58.273,58.273,58.273,58.273
2016-06-03 00:00:00,145.434,59.613,59.613,59.613,59.613
2016-06-06 00:00:00,144.364,61.214,61.214,61.214,61.214
2016-06-07 00:00:00,144.889,64.405,64.405,64.405,64.405
2016-06-08 00:00:00,145.409,63.273,63.273,63.273,63.273
2016-07-07 00:00:00,151.992,62.726,62.726,62.726,62.726
2016-07-08 00:00:00,152.925,62.27,62.27,62.27,62.27
2016-07-11 00:00:00,151.728,62.68,62.68,62.68,62.68
2016-07-12 00:00:00,150.139,63.823,63.823,63.823,63.823
2016-07-13 00:00:00,151.546,62.775,62.775,62.775,62.775
2016-07-14 00:00:00,150.266,63.561,63.561,63.561,63.561
2016-07-15 00:00:00,149.96,63.495,63.495,63.495,63.495
2016-07-18 00:00:00,149.466,63.125,63.125,63.125,63.125
2016-07-19 00:00:00,149.481,63.451,63.451,63.451,63.451
2016-07-20 00:00:00,148.737,63.483,63.483,63.483,63.483
2016-07-21 00:00:00,148.503,64.51,64.51,64.51,64.51
2016-07-22 00:00:00,148.557,63.735,63.735,63.735,63.735
2016-07-25 00:00:00,148.403,62.411,62.411,62.411,62.411
2016-07-26 00:00:00,148.753,61.375,61.375,61.375,61.375
2016-07-27 00:00:00,149.96,60.545,60.545,60.545,60.545
2016-07-28 00:00:00,149.907,59.852,59.852,59.852,59.852
2016-09-23 00:00:00,144.697,64.087,64.087,64.087,64.087
2016-09-26 00:00:00,145.271,63.692,63.692,63.692,63.692
2016-09-27 00:00:00,145.98,63.11,63.11,63.11,63.11
2016-09-28 00:00:00,145.695,64.978,64.978,64.978,64.978
2016-09-29 00:00:00,145.685,64.714,64.714,64.714,64.714
2016-10-18 00:00:00,144.707,67.783,67.783,67.783,67.783
2016-10-19 00:00:00,144.6,68.231,68.231,68.231,68.231
