,88732JAJ7 Corp,314275AC2 Corp,53079EAN4 Corp,53079EAN4 Corp_3,92553PAC6 Corp
Company,Time Warner Cable LLC,Macy's Retail Holdings LLC,Liberty Mutual Group Inc,Liberty Mutual Group Inc,Paramount Global
Ticker,CHTR,M,LIBMUT,LIBMUT,PARA
Rating,BB+,BB+,BB+,BB+,BB+
Issue Date,2007-10-30 00:00:00,2007-03-12 00:00:00,2007-03-07 00:00:00,2007-03-07 00:00:00,2007-10-05 00:00:00
Maturity Date,2037-05-01 00:00:00,2037-03-15 00:00:00,2037-03-15 00:00:00,2037-03-15 00:00:00,2037-10-05 00:00:00
2015-07-20 00:00:00,10.302,10.302,10.302,10.302,10.302
2015-07-21 00:00:00,10.222,10.222,10.222,10.222,10.222
2015-07-22 00:00:00,10.447,10.447,10.447,10.447,10.447
2015-07-23 00:00:00,10.282,10.282,10.282,10.282,10.282
2015-07-24 00:00:00,10.28,10.28,10.28,10.28,10.28
2015-07-27 00:00:00,10.646,10.646,10.646,10.646,10.646
2015-07-28 00:00:00,10.376,10.376,10.376,10.376,10.376
2015-07-29 00:00:00,10.164,10.164,10.164,10.164,10.164
2015-07-30 00:00:00,10.013,10.013,10.013,10.013,10.013
2015-07-31 00:00:00,10.241,10.241,10.241,10.241,10.241
2015-08-03 00:00:00,10.646,10.646,10.646,10.646,10.646
2015-08-04 00:00:00,10.544,10.544,10.544,10.544,10.544
2015-08-05 00:00:00,10.724,10.724,10.724,10.724,10.724
2015-08-06 00:00:00,10.59,10.59,10.59,10.59,10.59
2015-08-07 00:00:00,10.667,10.667,10.667,10.667,10.667
2015-08-10 00:00:00,10.595,10.595,10.595,10.595,10.595
2015-08-11 00:00:00,10.754,10.754,10.754,10.754,10.754
2015-08-12 00:00:00,10.681,10.681,10.681,10.681,10.681
2015-08-13 00:00:00,10.742,10.742,10.742,10.742,10.742
2015-08-14 00:00:00,10.67,10.67,10.67,10.67,10.67
2015-08-17 00:00:00,10.74,10.74,10.74,10.74,10.74
2015-08-18 00:00:00,10.73,10.73,10.73,10.73,10.73
2015-08-19 00:00:00,10.947,10.947,10.947,10.947,10.947
2015-08-20 00:00:00,10.706,10.706,10.706,10.706,10.706
2015-08-21 00:00:00,10.879,10.879,10.879,10.879,10.879
2015-08-24 00:00:00,10.897,10.897,10.897,10.897,10.897
2015-08-25 00:00:00,10.85,10.85,10.85,10.85,10.85
2015-08-26 00:00:00,11.031,11.031,11.031,11.031,11.031
2015-08-27 00:00:00,10.692,10.692,10.692,10.692,10.692
2015-08-28 00:00:00,10.64,10.64,10.64,10.64,10.64
2015-08-31 00:00:00,10.657,10.657,10.657,10.657,10.657
2015-09-01 00:00:00,10.772,10.772,10.772,10.772,10.772
2015-09-02 00:00:00,10.763,10.763,10.763,10.763,10.763
2015-09-03 00:00:00,10.581,10.581,10.581,10.581,10.581
2015-09-04 00:00:00,10.721,10.721,10.721,10.721,10.721
2015-09-08 00:00:00,10.472,10.472,10.472,10.472,10.472
2015-09-09 00:00:00,10.282,10.282,10.282,10.282,10.282
2015-09-10 00:00:00,10.333,10.333,10.333,10.333,10.333
2015-09-11 00:00:00,10.457,10.457,10.457,10.457,10.457
2015-09-14 00:00:00,10.455,10.455,10.455,10.455,10.455
2015-09-15 00:00:00,10.448,10.448,10.448,10.448,10.448
2015-09-16 00:00:00,10.453,10.453,10.453,10.453,10.453
2015-09-17 00:00:00,10.582,10.582,10.582,10.582,10.582
2015-09-18 00:00:00,10.736,10.736,10.736,10.736,10.736
2015-09-21 00:00:00,10.925,10.925,10.925,10.925,10.925
2015-09-22 00:00:00,10.875,10.875,10.875,10.875,10.875
2015-09-23 00:00:00,11.181,11.181,11.181,11.181,11.181
2015-09-24 00:00:00,11.382,11.382,11.382,11.382,11.382
2015-09-25 00:00:00,11.646,11.646,11.646,11.646,11.646
2015-09-28 00:00:00,11.743,11.743,11.743,11.743,11.743
2015-09-29 00:00:00,11.729,11.729,11.729,11.729,11.729
2015-09-30 00:00:00,11.413,11.413,11.413,11.413,11.413
