,98385XAM8 Corp,341081EY9 Corp,70213HAA6 Corp,002819AC4 Corp,742718DF3 Corp
Company,XTO Energy Inc,Florida Power & Light Co,Mass General Brigham Inc,Abbott Laboratories,Procter & Gamble Co/The
Ticker,XOM,NEE,PARHC,ABT,PG
Rating,AA-,AA-,AA-,AA-,AA-
Issue Date,2007-07-19 00:00:00,2007-04-17 00:00:00,2007-06-28 00:00:00,2007-11-09 00:00:00,2007-03-05 00:00:00
2016-02-22 00:00:00,3.455,16.173,16.173,16.173,16.173
2016-02-23 00:00:00,3.414,16.642,16.642,16.642,16.642
2016-02-24 00:00:00,3.437,16.995,16.995,16.995,16.995
2016-02-25 00:00:00,3.411,16.541,16.541,16.541,16.541
2016-02-26 00:00:00,3.747,16.214,16.214,16.214,16.214
2016-02-29 00:00:00,3.739,15.472,15.472,15.472,15.472
2016-03-01 00:00:00,3.811,15.129,15.129,15.129,15.129
2016-03-02 00:00:00,3.957,14.455,14.455,14.455,14.455
2016-03-03 00:00:00,3.948,14.057,14.057,14.057,14.057
2016-03-04 00:00:00,3.992,13.248,13.248,13.248,13.248
2016-03-07 00:00:00,4.012,12.595,12.595,12.595,12.595
2016-03-08 00:00:00,3.946,12.931,12.931,12.931,12.931
2016-03-09 00:00:00,3.973,13.253,13.253,13.253,13.253
2016-03-10 00:00:00,3.994,12.92,12.92,12.92,12.92
2016-03-11 00:00:00,4.063,13.037,13.037,13.037,13.037
2016-03-14 00:00:00,4.039,13.061,13.061,13.061,13.061
2016-03-15 00:00:00,4.055,13.052,13.052,13.052,13.052
2016-03-16 00:00:00,3.999,13.117,13.117,13.117,13.117
2016-03-17 00:00:00,3.982,12.974,12.974,12.974,12.974
2016-03-18 00:00:00,3.961,12.772,12.772,12.772,12.772
2016-03-21 00:00:00,4.011,12.895,12.895,12.895,12.895
2016-03-22 00:00:00,4.024,13.265,13.265,13.265,13.265
2016-03-23 00:00:00,3.952,13.868,13.868,13.868,13.868
2016-03-24 00:00:00,3.979,13.853,13.853,13.853,13.853
2016-03-28 00:00:00,3.929,14.01,14.01,14.01,14.01
2016-03-29 00:00:00,3.855,14.088,14.088,14.088,14.088
2016-03-30 00:00:00,3.877,14.043,14.043,14.043,14.043
2016-03-31 00:00:00,3.844,14.295,14.295,14.295,14.295
2016-04-01 00:00:00,3.849,14.538,14.538,14.538,14.538
2016-04-04 00:00:00,3.834,14.608,14.608,14.608,14.608
2016-04-05 00:00:00,3.795,15.188,15.188,15.188,15.188
2016-04-06 00:00:00,3.833,14.824,14.824,14.824,14.824
2016-04-07 00:00:00,3.759,15.067,15.067,15.067,15.067
2016-04-08 00:00:00,3.812,14.684,14.684,14.684,14.684
2016-04-11 00:00:00,3.824,14.298,14.298,14.298,14.298
2016-04-12 00:00:00,3.85,13.504,13.504,13.504,13.504
2016-04-13 00:00:00,3.833,13.204,13.204,13.204,13.204
2016-04-14 00:00:00,3.85,13.023,13.023,13.023,13.023
2016-04-15 00:00:00,3.81,12.365,12.365,12.365,12.365
2016-04-18 00:00:00,3.83,12.492,12.492,12.492,12.492
2016-04-19 00:00:00,3.853,11.754,11.754,11.754,11.754
2016-04-20 00:00:00,3.916,11.392,11.392,11.392,11.392
2016-04-21 00:00:00,3.938,11.719,11.719,11.719,11.719
2016-04-22 00:00:00,3.954,11.756,11.756,11.756,11.756
2016-04-25 00:00:00,3.982,11.793,11.793,11.793,11.793
2016-04-26 00:00:00,3.991,11.887,11.887,11.887,11.887
2016-04-27 00:00:00,3.935,11.592,11.592,11.592,11.592
2016-04-28 00:00:00,3.915,11.69,11.69,11.69,11.69
2016-04-29 00:00:00,3.912,11.911,11.911,11.911,11.911
2016-05-02 00:00:00,3.956,11.809,11.809,11.809,11.809
2016-05-03 00:00:00,3.884,12.314,12.314,12.314,12.314
2016-05-04 00:00:00,3.851,12.51,12.51,12.51,12.51
